Entity,Label,Count
"(""Alzheimer's dementia"", 'DISEASE')",5
"('myocardial infarctions', 'DISEASE')",2
"('congestive heart failure', 'DISEASE')",11
"('hypertension', 'DISEASE')",33
"('dyslipidemia', 'DISEASE')",1
"('left arm weakness', 'DISEASE')",2
"('TIA', 'DISEASE')",6
"('stroke', 'DISEASE')",16
"('Lasix', 'CHEMICAL')",44
"('oxygen', 'CHEMICAL')",46
"('hypotensive', 'DISEASE')",18
"('70s', 'CHEMICAL')",5
"('Dopamine', 'CHEMICAL')",2
"('congestive heart\nfailure', 'DISEASE')",1
"('Coronary artery disease', 'DISEASE')",9
"('Diabetes mellitus', 'DISEASE')",7
"('Dyslipidemia', 'DISEASE')",4
"('Congestive heart failure', 'DISEASE')",5
"('Lisinopril', 'CHEMICAL')",22
"('p.o', 'CHEMICAL')",63
"('q.d', 'CHEMICAL')",47
"('Imdur', 'CHEMICAL')",9
"('Prilosec', 'CHEMICAL')",4
"('Potassium chloride', 'CHEMICAL')",2
"('Coreg', 'CHEMICAL')",6
"('q.', 'DISEASE')",1
"('Aspirin', 'CHEMICAL')",42
"('Folate', 'CHEMICAL')",5
"('Iodine', 'CHEMICAL')",2
"('smoke', 'CHEMICAL')",4
"('frothy', 'DISEASE')",1
"('edema', 'DISEASE')",88
"('sodium', 'CHEMICAL')",21
"('potassium', 'CHEMICAL')",11
"('chloride', 'CHEMICAL')",2
"('bicarbonate', 'CHEMICAL')",10
"('creatinine', 'CHEMICAL')",33
"('glucose 124', 'CHEMICAL')",1
"('bundle branch block', 'DISEASE')",2
"('coronary artery disease', 'DISEASE')",10
"('decompensated congestive heart failure', 'DISEASE')",1
"('elevated systolic blood pressure', 'DISEASE')",1
"('Captopril', 'CHEMICAL')",12
"('Isordil', 'CHEMICAL')",5
"('depressed', 'DISEASE')",14
"('MR', 'DISEASE')",4
"('t.i.d', 'CHEMICAL')",12
"('Heparin', 'CHEMICAL')",30
"('Lopressor', 'CHEMICAL')",8
"('Levaquin', 'CHEMICAL')",4
"('Flagyl', 'CHEMICAL')",11
"('Decompensated congestive heart failure', 'DISEASE')",1
"('Hypertension', 'DISEASE')",46
"('ischemic cardiomyopathy', 'DISEASE')",1
"('pulmonary edema', 'DISEASE')",28
"('tachycardia', 'DISEASE')",16
"('shortness of\nbreath,', 'DISEASE')",1
"('100/50', 'CHEMICAL')",1
"('fevers', 'DISEASE')",16
"('Levofloxacin', 'CHEMICAL')",23
"('Metronidazole', 'CHEMICAL')",4
"('heart failure', 'DISEASE')",13
"('proctitis', 'DISEASE')",3
"('cholelithiasis', 'DISEASE')",2
"('adenomyomatosis', 'DISEASE')",1
"('ulcerative colitis', 'DISEASE')",2
"('non-bleeding', 'DISEASE')",1
"('pain', 'DISEASE')",194
"('steroids', 'CHEMICAL')",31
"('5-ASA enemas', 'CHEMICAL')",1
"('Pulmonary edema', 'DISEASE')",2
"('Hypercholesterolemia', 'DISEASE')",7
