Entity,Label,Count
"('Admission', 'ENTITY')",104
"('Sex', 'ENTITY')",73
"('Service', 'ENTITY')",55
"('Patient', 'ENTITY')",176
"('female', 'ENTITY')",22
"('history', 'ENTITY')",89
"(""Alzheimer's dementia"", 'ENTITY')",5
"('coronary artery\ndisease', 'ENTITY')",4
"('coronary artery bypass graft', 'ENTITY')",4
"('myocardial', 'ENTITY')",2
"('infarctions', 'ENTITY')",2
"('congestive', 'ENTITY')",14
"('heart failure', 'ENTITY')",18
"('ejection\nfraction', 'ENTITY')",3
"('hypertension', 'ENTITY')",13
"('dyslipidemia', 'ENTITY')",1
"('transient', 'ENTITY')",2
"('left arm', 'ENTITY')",5
"('associated with', 'ENTITY')",7
"('slow speech', 'ENTITY')",1
"('husband', 'ENTITY')",9
"('doctor', 'ENTITY')",24
"('emergency\nroom', 'ENTITY')",1
"('arrival', 'ENTITY')",38
"('vital signs', 'ENTITY')",8
"('stable', 'ENTITY')",120
"('Labs', 'ENTITY')",13
"('unremarkable', 'ENTITY')",9
"('Cardiac enzymes', 'ENTITY')",4
"('negative', 'ENTITY')",111
"('initially', 'ENTITY')",13
"('admitted', 'ENTITY')",56
"('Neurology', 'ENTITY')",14
"('TIA', 'ENTITY')",5
"('stroke', 'ENTITY')",16
"('MRI', 'ENTITY')",22
"('head', 'ENTITY')",8
"('admission\n', 'ENTITY')",8
"('acute process', 'ENTITY')",5
"('floor\n', 'ENTITY')",5
"('tachycardic', 'ENTITY')",14
"('sinus\nrhythm', 'ENTITY')",2
"('rales', 'ENTITY')",13
"('exam', 'ENTITY')",27
"('IV', 'ENTITY')",34
"('Lasix', 'ENTITY')",26
"('significant', 'ENTITY')",3
"('response', 'ENTITY')",4
"('dose', 'ENTITY')",43
"('code', 'ENTITY')",4
"('drop', 'ENTITY')",14
"('oxygen\n', 'ENTITY')",2
"('mid', 'ENTITY')",8
"('80s', 'ENTITY')",10
"('hypotensive', 'ENTITY')",12
"('systolic blood pressure', 'ENTITY')",2
"('intubated', 'ENTITY')",24
"('briefly', 'ENTITY')",1
"('Dopamine', 'ENTITY')",1
"('blood pressures', 'ENTITY')",6
"('transferred', 'ENTITY')",97
"('management', 'ENTITY')",25
"('heart\n', 'ENTITY')",6
"('PAST MEDICAL HISTORY', 'ENTITY')",11
"('Coronary artery disease', 'ENTITY')",11
"('coronary artery\nbypass graft', 'ENTITY')",2
"('Diabetes mellitus', 'ENTITY')",5
"('Dyslipidemia', 'ENTITY')",2
"('Congestive heart failure', 'ENTITY')",4
"('ejection fraction', 'ENTITY')",5
"('primary care physician', 'ENTITY')",19
"('**First Name8', 'ENTITY')",1
"('MEDICATIONS', 'ENTITY')",9
"('AT HOME', 'ENTITY')",1
"('Potassium chloride', 'ENTITY')",2
"('Coreg', 'ENTITY')",4
"('q. AM', 'ENTITY')",1
"('PM', 'ENTITY')",34
"('Colestid with breakfast', 'ENTITY')",1
"('Folate', 'ENTITY')",4
"('Lanoxin 0.125', 'ENTITY')",1
"('Monday', 'ENTITY')",7
"('Wednesday', 'ENTITY')",4
"('Friday', 'ENTITY')",8
"('Tuesday', 'ENTITY')",3
"('Thursday', 'ENTITY')",6
"('ALLERGIES', 'ENTITY')",8
"('Iodine', 'ENTITY')",1
"('SOCIAL HISTORY', 'ENTITY')",8
"('drink', 'ENTITY')",4
"('PHYSICAL EXAMINATION', 'ENTITY')",6
"('admission', 'ENTITY')",190
"('Coronary Care\nUnit', 'ENTITY')",1
"('sedated', 'ENTITY')",11
"('pink', 'ENTITY')",1
"('frothy\nsputum', 'ENTITY')",1
"('G tube', 'ENTITY')",1
"('Her', 'ENTITY')",9
"('lungs', 'ENTITY')",28
"('bases', 'ENTITY')",13
"('regular rate', 'ENTITY')",3
"('rhythm\n', 'ENTITY')",2
"('precordial exam', 'ENTITY')",1
"('extra heart\nsounds', 'ENTITY')",1
"('abdomen', 'ENTITY')",44
"('benign', 'ENTITY')",5
"('positive', 'ENTITY')",40
"('bowel sounds', 'ENTITY')",13
"('edema', 'ENTITY')",28
"('distal pulses', 'ENTITY')",3
"('stimuli', 'ENTITY')",1
"('LABORATORY', 'ENTITY')",6
"('Coronary Care Unit', 'ENTITY')",2
"('potassium', 'ENTITY')",9
"('chloride', 'ENTITY')",2
"('bicarbonate', 'ENTITY')",6
"('BUN', 'ENTITY')",8
"('creatinine', 'ENTITY')",25
"('glucose', 'ENTITY')",8
"('INR', 'ENTITY')",56
"('White count 7', 'ENTITY')",1
"('platelets', 'ENTITY')",4
"('EKG', 'ENTITY')",40
"('normal sinus rhythm', 'ENTITY')",4
"('beats', 'ENTITY')",3
"('left\naxis', 'ENTITY')",1
"('left bundle branch block', 'ENTITY')",1
"('time', 'ENTITY')",39
"('Chest x-ray', 'ENTITY')",6
"('patchy', 'ENTITY')",2
"('vascular markings', 'ENTITY')",1
"('consistent with', 'ENTITY')",65
"('HOSPITAL COURSE', 'ENTITY')",8
"('impression', 'ENTITY')",2
"('patient', 'ENTITY')",561
"('year-old', 'ENTITY')",10
"('coronary artery disease', 'ENTITY')",15
"('symptoms', 'ENTITY')",57
"('discomfort', 'ENTITY')",6
"('day', 'ENTITY')",534
"('anginal type\nsymptoms', 'ENTITY')",1
"('floor', 'ENTITY')",59
"('elevated', 'ENTITY')",42
"('Dopamine\n', 'ENTITY')",1
"('diuresed', 'ENTITY')",18
"('PA', 'ENTITY')",6
"('catheter', 'ENTITY')",12
"('pulmonary artery pressures', 'ENTITY')",1
"('pulmonary capillary wedge pressure', 'ENTITY')",1
"('aggressive diuresis', 'ENTITY')",2
"('titration', 'ENTITY')",2
"('reduction', 'ENTITY')",9
"('Captopril', 'ENTITY')",9
"('initiation', 'ENTITY')",6
"('Isordil', 'ENTITY')",1
"('extubated', 'ENTITY')",13
"('transthoracic echocardiogram', 'ENTITY')",1
"('LV function', 'ENTITY')",2
"('akinesis', 'ENTITY')",3
"('inferior row posterior walls', 'ENTITY')",1
"('hypokinesis', 'ENTITY')",8
"('LV', 'ENTITY')",2
"('AR', 'ENTITY')",4
"('MR', 'ENTITY')",5
"('dictation', 'ENTITY')",2
"('awaiting transfer', 'ENTITY')",1
"('General Medical Floor', 'ENTITY')",1
"('await', 'ENTITY')",1
"('disposition', 'ENTITY')",1
"('short term rehab', 'ENTITY')",1
"('TRANSFER', 'ENTITY')",2
"('Stable', 'ENTITY')",31
"('DISCHARGE', 'ENTITY')",28
